,title,budget,popularity,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,avatar,237000000,150.437577,2787965087,162.0,7.2,11800,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,pirates of the caribbean at worlds end,300000000,139.082615,961000000,169.0,6.9,4500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,spectre,245000000,107.37678799999999,880674609,148.0,6.3,4466,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,the dark knight rises,250000000,112.31295,1084939099,165.0,7.6,9106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,john carter,260000000,43.926995,284139100,132.0,6.1,2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,spiderman 3,258000000,115.69981399999999,890871626,139.0,5.9,3576,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,tangled,260000000,48.681969,591794936,100.0,7.4,3330,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,avengers age of ultron,280000000,134.27922900000002,1405403694,141.0,7.3,6767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,harry potter and the halfblood prince,250000000,98.885637,933959197,153.0,7.4,5293,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,batman v superman dawn of justice,250000000,155.790452,873260194,151.0,5.7,7004,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,superman returns,270000000,57.925623,391081192,154.0,5.4,1400,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,quantum of solace,200000000,107.92881100000001,586090727,106.0,6.1,2965,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,pirates of the caribbean dead mans chest,200000000,145.84737900000002,1065659812,151.0,7.0,5246,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,the lone ranger,255000000,49.046956,89289910,149.0,5.9,2311,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,man of steel,225000000,99.398009,662845518,143.0,6.5,6359,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,the chronicles of narnia prince caspian,225000000,53.978602,419651413,150.0,6.3,1630,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,the avengers,220000000,144.448633,1519557910,143.0,7.4,11776,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,pirates of the caribbean on stranger tides,380000000,135.413856,1045713802,136.0,6.4,4948,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,men in black 3,225000000,52.035179,624026776,106.0,6.2,4160,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,the hobbit the battle of the five armies,250000000,120.96574299999999,956019788,144.0,7.1,4760,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,the amazing spiderman,215000000,89.866276,752215857,136.0,6.5,6586,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,robin hood,200000000,37.668301,310669540,140.0,6.2,1398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,the hobbit the desolation of smaug,250000000,94.370564,958400000,161.0,7.6,4524,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,the golden compass,180000000,42.990906,372234864,113.0,5.8,1303,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,king kong,207000000,61.226009999999995,550000000,187.0,6.6,2337,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,titanic,200000000,100.025899,1845034188,194.0,7.5,7562,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
26,captain america civil war,250000000,198.37239499999998,1153304495,147.0,7.1,7241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,battleship,209000000,64.928382,303025485,131.0,5.5,2114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
28,jurassic world,150000000,418.708552,1513528810,124.0,6.5,8662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29,skyfall,200000000,93.004993,1108561013,143.0,6.9,7604,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,spiderman 2,200000000,35.149586,783766341,127.0,6.7,4321,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,iron man 3,200000000,77.68208,1215439994,130.0,6.8,8806,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
