,title,GoldenGlobes,Nominations_GoldenGlobes,Oscars,Nominations_Oscars
0,avatar,2.0,4.0,3.0,9.0
1,pirates of the caribbean at worlds end,0.0,0.0,0.0,2.0
2,spectre,1.0,1.0,1.0,1.0
3,the dark knight rises,0.0,0.0,0.0,0.0
4,john carter,0.0,0.0,0.0,0.0
5,spiderman 3,0.0,0.0,0.0,0.0
6,tangled,0.0,2.0,0.0,1.0
7,avengers age of ultron,0.0,0.0,0.0,0.0
8,harry potter and the halfblood prince,0.0,0.0,0.0,1.0
9,batman v superman dawn of justice,0.0,0.0,0.0,0.0
10,superman returns,0.0,0.0,0.0,1.0
11,quantum of solace,0.0,0.0,0.0,0.0
12,pirates of the caribbean dead mans chest,0.0,1.0,1.0,4.0
13,the lone ranger,0.0,0.0,0.0,2.0
14,man of steel,0.0,0.0,0.0,0.0
15,the chronicles of narnia prince caspian,0.0,0.0,0.0,0.0
16,the avengers,0.0,0.0,0.0,0.0
17,pirates of the caribbean on stranger tides,0.0,0.0,0.0,0.0
18,men in black 3,0.0,0.0,0.0,0.0
19,the hobbit the battle of the five armies,0.0,0.0,0.0,1.0
20,the amazing spiderman,0.0,0.0,0.0,0.0
21,robin hood,0.0,0.0,0.0,0.0
22,the hobbit the desolation of smaug,0.0,0.0,0.0,3.0
23,the golden compass,0.0,0.0,1.0,2.0
24,king kong,0.0,2.0,3.0,4.0
25,titanic,4.0,8.0,11.0,14.0
26,captain america civil war,0.0,0.0,0.0,0.0
27,battleship,0.0,0.0,0.0,0.0
28,jurassic world,0.0,0.0,0.0,0.0
29,skyfall,1.0,1.0,2.0,5.0
30,spiderman 2,0.0,0.0,1.0,3.0
31,iron man 3,0.0,0.0,0.0,1.0
32,alice in wonderland,0.0,3.0,2.0,3.0
33,xmen the last stand,0.0,0.0,0.0,0.0
34,monsters university,0.0,0.0,0.0,0.0
35,transformers revenge of the fallen,0.0,0.0,0.0,1.0
36,transformers age of extinction,0.0,0.0,0.0,0.0
37,oz the great and powerful,0.0,0.0,0.0,0.0
38,the amazing spiderman 2,0.0,0.0,0.0,0.0
39,tron legacy,0.0,0.0,0.0,1.0
40,cars 2,0.0,1.0,0.0,0.0
41,green lantern,0.0,0.0,0.0,0.0
42,toy story 3,1.0,1.0,2.0,5.0
