,id,title,budget,popularity,revenue,runtime,vote_average,vote_count,ceremony_year,Oscars,Nominations_Oscars,GoldenGlobes,Nominations_GoldenGlobes
0,19995,avatar,237000000,150.437577,2787965087,162.0,7.2,11800,2010.0,3.0,9.0,2.0,4.0
1,285,pirates of the caribbean at worlds end,300000000,139.082615,961000000,169.0,6.9,4500,2008.0,0.0,2.0,0.0,0.0
2,206647,spectre,245000000,107.37678799999999,880674609,148.0,6.3,4466,2016.0,1.0,1.0,1.0,1.0
3,49026,the dark knight rises,250000000,112.31295,1084939099,165.0,7.6,9106,2013.0,0.0,0.0,0.0,0.0
4,49529,john carter,260000000,43.926995,284139100,132.0,6.1,2124,2013.0,0.0,0.0,0.0,0.0
5,559,spiderman 3,258000000,115.69981399999999,890871626,139.0,5.9,3576,2008.0,0.0,0.0,0.0,0.0
6,38757,tangled,260000000,48.681969,591794936,100.0,7.4,3330,2011.0,0.0,1.0,0.0,2.0
7,99861,avengers age of ultron,280000000,134.27922900000002,1405403694,141.0,7.3,6767,2016.0,0.0,0.0,0.0,0.0
8,767,harry potter and the halfblood prince,250000000,98.885637,933959197,153.0,7.4,5293,2010.0,0.0,1.0,0.0,0.0
9,209112,batman v superman dawn of justice,250000000,155.790452,873260194,151.0,5.7,7004,2017.0,0.0,0.0,0.0,0.0
10,1452,superman returns,270000000,57.925623,391081192,154.0,5.4,1400,2007.0,0.0,1.0,0.0,0.0
11,10764,quantum of solace,200000000,107.92881100000001,586090727,106.0,6.1,2965,2009.0,0.0,0.0,0.0,0.0
12,58,pirates of the caribbean dead mans chest,200000000,145.84737900000002,1065659812,151.0,7.0,5246,2007.0,1.0,4.0,0.0,1.0
13,57201,the lone ranger,255000000,49.046956,89289910,149.0,5.9,2311,2014.0,0.0,2.0,0.0,0.0
14,49521,man of steel,225000000,99.398009,662845518,143.0,6.5,6359,2014.0,0.0,0.0,0.0,0.0
15,2454,the chronicles of narnia prince caspian,225000000,53.978602,419651413,150.0,6.3,1630,2009.0,0.0,0.0,0.0,0.0
16,24428,the avengers,220000000,144.448633,1519557910,143.0,7.4,11776,2013.0,0.0,0.0,0.0,0.0
17,1865,pirates of the caribbean on stranger tides,380000000,135.413856,1045713802,136.0,6.4,4948,2012.0,0.0,0.0,0.0,0.0
18,41154,men in black 3,225000000,52.035179,624026776,106.0,6.2,4160,2013.0,0.0,0.0,0.0,0.0
19,122917,the hobbit the battle of the five armies,250000000,120.96574299999999,956019788,144.0,7.1,4760,2015.0,0.0,1.0,0.0,0.0
20,1930,the amazing spiderman,215000000,89.866276,752215857,136.0,6.5,6586,2013.0,0.0,0.0,0.0,0.0
21,20662,robin hood,200000000,37.668301,310669540,140.0,6.2,1398,2011.0,0.0,0.0,0.0,0.0
22,57158,the hobbit the desolation of smaug,250000000,94.370564,958400000,161.0,7.6,4524,2014.0,0.0,3.0,0.0,0.0
23,2268,the golden compass,180000000,42.990906,372234864,113.0,5.8,1303,2008.0,1.0,2.0,0.0,0.0
24,254,king kong,207000000,61.226009999999995,550000000,187.0,6.6,2337,2006.0,3.0,4.0,0.0,2.0
25,597,titanic,200000000,100.025899,1845034188,194.0,7.5,7562,1998.0,11.0,14.0,4.0,8.0
