,Films,Year,Oscars,Nominations
0,"$1,000 a Minute",1936,0,1
1,'Round Midnight,1987,1,2
2,(A) Torzija [(A) Torsion],2004,0,1
3,...And Justice for All,1980,0,2
4,10,1980,0,2
5,102 Dalmatians,2001,0,1
6,12,2008,0,1
7,12 Angry Men,1958,0,3
8,12 Monkeys,1996,0,2
9,12 Years a Slave,2014,3,9
10,127 Hours,2011,0,6
11,12:01 PM,1991,0,1
12,13 Hours: The Secret Soldiers of Benghazi,2017,0,1
13,13th,2017,0,1
14,140 Days under the World,1965,0,1
15,1776,1973,0,1
16,1848,1950,0,1
17,1941,1980,0,3
18,20 Feet from Stardom,2014,1,1
19,"20,000 Leagues under the Sea",1955,2,3
20,2001: A Space Odyssey,1969,1,4
21,2010,1985,0,5
22,20th Century Women,2017,0,1
23,21 Grams,2004,0,2
24,24-Hour Alert,1956,0,1
25,3 Misses,2000,0,1
26,38,1987,0,1
27,3:10 to Yuma,2008,0,2
28,3rd Ave. El,1956,0,1
29,4 Little Girls,1998,0,1
30,4.1 Miles,2017,0,1
31,42nd Street,1934,0,2
32,45 Years,2016,0,1
33,5 Broken Cameras,2013,0,1
34,55 Days at Peking,1964,0,2
35,7 Faces of Dr. Lao,1965,0,1
36,7th Heaven,1929,3,5
37,8 Mile,2003,1,1
38,89mm od Europy (89mm from Europe),1995,0,1
39,9,2006,0,1
40,A Beautiful Mind,2002,4,8
41,A Boy Named Charlie Brown,1971,0,1
42,A Boy and His Dog,1947,1,1
43,A Bug's Life,1999,0,1
44,A Cage of Nightingales,1948,0,1
45,A Cat in Paris,2012,0,1
46,A Certain Smile,1959,0,3
47,A Chairy Tale,1958,0,1
48,A Chance to Live,1950,1,1
49,A Chef in Love,1997,0,1
50,A Chorus Line,1986,0,3
51,A Christmas Carol,1973,1,1
52,A City Called Copenhagen,1961,0,1
53,A City Decides,1957,0,1
54,A Civil Action,1999,0,2
55,A Clockwork Orange,1972,0,4
56,A Close Shave,1996,1,1
57,A Cry in the Dark,1989,0,1
58,A Damsel in Distress,1938,1,2
59,A Day at the Races,1938,0,1
60,A Day in the Life of Bonnie Consolo,1976,0,1
61,A Different Approach,1979,0,1
62,A Double Life,1948,2,4
63,A Dry White Season,1990,0,1
64,A Fantastic Woman,2018,1,1
65,A Farewell to Arms,1934,2,4
66,A Farewell to Arms,1958,0,1
67,A Few Good Men,1993,0,4
68,A Few Notes on Our Food Problem,1969,0,1
69,A Fish Called Wanda,1989,1,3
70,A Foreign Affair,1949,0,2
71,A Free Soul,1932,1,3
72,A Funny Thing Happened on the Way to the Forum,1967,1,1
73,A Gathering of Eagles,1964,0,1
74,A Girl in the River: The Price of Forgiveness,2016,1,1
75,A Grand Day Out,1991,0,1
76,A Great Day in Harlem,1995,0,1
77,A Greek Tragedy,1987,1,1
78,A Gun in His Hand,1946,0,1
79,A Guy Named Joe,1945,0,1
80,A Handful of Dust,1989,0,1
81,A Hard Day's Night,1965,0,2
82,A Hatful of Rain,1958,0,1
83,A History of Violence,2006,0,2
84,A Hole in the Head,1960,1,1
85,A House Is Not a Home,1965,0,1
86,A Jury of Her Peers,1981,0,1
87,A King's Story,1968,0,1
88,A Letter to Three Wives,1950,2,3
89,A Little Night Music,1978,1,2
90,A Little Princess,1996,0,2
91,A Little Romance,1980,1,2
92,A Little Vicious,1992,0,1
93,A Long Way from Nowhere,1971,0,1
94,A Majority of One,1962,0,1
95,A Man Called Ove,2017,0,2
96,A Man Called Peter,1956,0,1
97,A Man Thing (Meska Sprawa),2002,0,1
98,A Man and a Woman,1967,2,4
99,A Man for All Seasons,1967,6,8
100,A Matter of Loaf and Death,2010,0,1
101,A Medal for Benny,1946,0,2
102,A Midsummer Night's Dream,1936,2,4
103,A Mighty Wind,2004,0,1
104,A Morning Stroll,2012,0,1
105,A New Kind of Love,1964,0,2
106,A Night at The Garden,2019,0,1
107,A Night at the Movies,1938,0,1
108,A Note of Triumph: The Golden Age of Norman Corwin,2006,1,1
109,A Passage to India,1985,2,11
110,A Patch of Blue,1966,1,5
111,A Place in the Land,1999,0,1
112,A Place in the Sun,1952,6,9
113,A Place in the Sun,1961,0,1
114,A Place to Live,1942,0,1
115,A Place to Stand,1968,1,2
116,A Portrait of Giselle,1983,0,1
117,A Preferred List,1934,0,1
118,A Prophet,2010,0,1
119,A Queen Is Crowned,1954,0,1
120,A Quiet Place,2019,0,1
121,A Rage to Live,1966,0,1
122,A River Runs through It,1993,1,3
123,A Room with a View,1987,3,8
124,A Royal Affair,2013,0,1
125,A Separation,2012,1,2
126,A Serious Man,2010,0,2
127,A Ship Comes In,1929,0,1
128,A Ship Is Born,1943,0,1
129,A Shocking Accident,1983,1,1
130,A Simple Plan,1999,0,2
131,A Simple Story,1980,0,1
132,A Single Life,2015,0,1
133,A Single Man,2010,0,1
134,A Soccer Story (Uma Historia de Futebol),2001,0,1
135,A Soldier's Story,1985,0,3
136,A Song to Remember,1946,0,6
137,A Space to Grow,1969,0,1
138,A Special Day,1978,0,2
139,A Sport Is Born,1961,0,1
140,A Star Is Born,1938,1,7
141,A Star Is Born,1955,0,6
142,A Star Is Born,1977,1,4
143,A Star Is Born,2019,0,7
144,A Stitch for Time,1988,0,1
145,A Stolen Life,1947,0,1
146,A Story of Healing,1998,1,1
147,A Streetcar Named Desire,1952,4,12
148,A Tale of Two Cities,1937,0,2
149,A Thousand Clowns,1966,1,4
150,A Thousand and One Nights,1946,0,2
151,A Time Out of War,1955,1,1
152,A Time for Burning,1968,0,1
153,A Time for Justice,1995,1,1
154,A Time to Love and a Time to Die,1959,0,1
155,A Touch of Class,1974,1,5
156,A Tree Grows in Brooklyn,1946,1,2
157,A Very Long Engagement,2005,0,2
158,A Voice Is Born: The Story of Niklos Gafni,1948,0,1
159,A War,2016,0,1
160,A Way Out of the Wilderness,1969,0,1
161,A Wild Hare,1941,0,1
162,A Woman of Affairs,1930,0,1
163,A Woman under the Influence,1975,0,2
164,A Yank in the R.A.F.,1942,0,1
165,A Year toward Tomorrow,1967,1,1
166,A.I. Artificial Intelligence,2002,0,2
167,Abacus: Small Enough to Jail,2018,0,1
168,Abe Lincoln in Illinois,1941,0,2
169,About Schmidt,2003,0,2
170,About a Boy,2003,0,1
171,Above and Beyond,1954,0,1
172,Absence of Malice,1982,0,3
173,Across the Universe,2008,0,1
174,Action in the North Atlantic,1944,0,1
175,Adam,1993,0,1
176,Adam Clayton Powell,1990,0,1
177,Adam and Dog,2013,0,1
178,Adam's Rib,1951,0,1
179,Adaptation,2003,1,4
180,Addams Family Values,1994,0,1
181,Address Unknown,1945,0,2
182,Adolescence,1967,0,1
183,Adventure in the Bronx,1942,0,1
184,Adventures in Perception,1972,0,1
185,Adventures of Robinson Crusoe,1955,0,1
186,Affair in Trinidad,1953,0,1
187,Affliction,1999,1,2
188,"Africa, Prelude to Victory",1943,0,1
189,After the Axe,1983,0,1
190,After the Thin Man,1937,0,1
191,After the Wedding,2007,0,1
192,Afterglow,1998,0,1
193,Against All Odds,1985,0,1
194,Against Wind and Tide: A Cuban Odyssey,1982,0,1
195,Agatha,1980,0,1
196,Agee,1981,0,1
197,Agnes of God,1986,0,3
198,"Agueda Martinez: Our People, Our Country",1978,0,1
199,Air Force,1944,1,4
200,Air Force One,1998,0,2
201,Airport,1971,1,10
202,Airport '77,1978,0,2
203,Ajami,2010,0,1
204,Aladdin,1993,2,5
205,Alaska Wilderness Lake,1972,0,1
206,Alaska: Spirit of the Wild,1998,0,1
207,Albert Nobbs,2012,0,3
208,Albert Schweitzer,1958,1,1
209,Alexander's Ragtime Band,1939,1,6
210,Alfie,1967,0,5
211,Algiers,1939,0,4
212,Ali,2002,0,2
213,Ali Baba Goes to Town,1938,0,1
214,Alibi,1930,0,3
215,Alice,1991,0,1
216,Alice Adams,1936,0,2
217,Alice Doesn't Live Here Anymore,1975,1,3
218,Alice in Wonderland,1952,0,1
219,Alice in Wonderland,2011,2,3
220,Alice's Restaurant,1970,0,1
221,Alien,1980,1,2
222,Alien 3,1993,0,1
223,Aliens,1987,2,7
224,Alive in the Deep,1942,0,1
225,All Is Lost,2014,0,1
226,All Nothing,1981,0,1
227,"All Out for ""V""",1943,0,1
228,All Quiet on the Western Front,1931,2,4
