,Films,Year,GoldenGlobes,Nominations
0," Remains of the Day, The",1994,0,5
1, Roma (1972),1973,0,1
2,"$1,000,000 Duck",1972,0,2
3,'Round Midnight,1987,0,2
4,"'night, Mother",1987,0,1
5,(500) Days of Summer,2010,0,2
6,10,1980,0,5
7,10 North Frederick,1959,0,1
8,101 Dalmatians,1997,0,1
9,12 Angry Men (1957),1958,0,4
10,12 Years a Slave,2014,1,7
11,127 Hours,2011,0,3
12,1492: Conquest Of Paradise,1993,0,1
13,1776,1973,0,1
14,20th Century Women,2017,0,2
15,25th Hour,2003,0,1
16,3 Men and a Cradle,1987,0,1
17,"4 Months, 3 Weeks And 2 Days",2008,0,1
18,40 Carats,1974,0,1
19,48 Hrs.,1983,0,1
20,5 Fingers,1953,1,1
21,50/50,2012,0,2
22,8 Mile,2003,0,1
23,90 Degrees In The Shade,1966,0,1
24,99 Homes,2016,0,1
25,99 and 44/100% Dead,1975,0,1
26,A Beautiful Mind,2002,4,6
27,A Bug's Life,1999,0,1
28,A Double Life,1948,1,1
29,A Fantastic Woman,2018,0,1
30,A Girl In Black,1957,0,1
31,A History of Violence,2006,0,2
32,A Life Of Her Own,1951,0,1
33,A Majority Of One,1962,3,3
34,A Man And A Woman,1967,2,5
35,A Man Could Get Killed,1967,1,1
36,A Medal For Benny,1946,1,1
37,A Most Violent Year,2015,0,1
38,A Night To Remember,1959,1,1
39,A Place In The Sun,1952,1,4
40,A Prophet (Un Prophete),2010,0,1
41,A Royal Affair,2013,0,1
42,A Separation,2012,1,1
43,A Single Man,2010,0,3
44,A Streetcar Named Desire (1951),1952,1,3
45,A Thousand Acres,1998,0,1
46,A Very Long Engagement,2005,0,1
47,A Walk in the Clouds,1996,1,1
48,A. I.: Artificial Intelligence,2002,0,3
49,About Schmidt,2003,2,5
50,About a Boy,2003,0,2
51,Absence of Malice,1982,0,2
52,"Absent-Minded Professor, The",1962,0,1
53,Accident,1968,0,1
54,"Accidental Tourist, The",1989,0,2
55,"Accused, The",1989,1,1
56,Across The Universe,2008,0,1
57,Act of Valor,2013,0,1
58,Act of the Heart,1971,0,1
59,"Actress, The",1954,1,1
60,Adalen 31,1970,0,1
61,Adam's Rib,1951,0,1
62,Adaptation,2003,2,6
63,Addams Family Values,1994,0,1
64,"Addams Family, The",1992,0,1
65,"Adventures of Priscilla, Queen of the Desert, The",1995,0,2
66,"Adventures of Tintin, The",2012,1,1
67,Affliction,1999,0,1
68,"African Elephant, The",1972,0,2
69,After Hours,1986,0,1
70,Against All Odds,1985,0,1
71,"Age of Innocence, The",1994,1,4
72,Agnes of God,1986,1,2
73,"Agony and The Ecstasy, The",1966,0,2
74,Aimée & Jaguar,2000,0,1
75,Airplane!,1981,0,1
76,Airport,1971,1,4
77,Airport 1975,1975,0,1
78,Akira Kurosawa's Dreams,1991,0,1
79,Aladdin,1993,3,6
80,Albert Nobbs,2012,0,3
81,Alfie (1966),1967,1,7
82,Alfie (2004),2005,1,1
83,"Alfredo, Alfredo",1974,0,1
84,Ali,2002,0,3
85,Alice (1990),1991,0,1
86,Alice Doesn't Live Here Anymore,1975,0,2
87,Alice in Wonderland,2011,0,3
88,Alien,1980,0,1
89,Aliens,1987,0,1
90,All About Eve,1951,1,5
91,All About My Mother,2000,1,1
92,All Is Lost,2014,1,2
93,All That Jazz,1980,0,1
94,All The King's Men,1950,5,7
95,All The Money In The World,2018,0,3
96,All The Mornings of The World,1993,0,1
97,All The President's Men,1977,0,4
98,All The Pretty Horses,2001,0,1
99,All of Me,1985,0,2
100,Almost Famous,2001,2,4
101,Alone On The Pacific,1964,0,1
102,Altars of the World,1977,1,1
103,Altered States,1981,0,1
104,Amadeus,1985,4,6
105,Amarcord,1975,0,1
106,"America, America",1964,1,8
107,American Beauty,2000,3,6
108,American Gangster,2008,0,3
109,American Gigolo,1981,0,2
110,American Graffiti,1974,2,4
111,American Hustle,2014,3,7
112,"American President, The",1996,0,5
113,American Splendor,2004,0,1
114,"American Tail, An",1987,0,1
115,"American Tail, An : Fievel Goes West",1992,0,1
116,Amistad,1998,0,4
117,"Amityville Horror, The",1980,0,1
118,Amores Perros,2001,0,1
119,Amour,2013,1,1
120,Amélie,2002,0,1
121,An American In Paris,1952,1,3
122,Analyze This,2000,0,2
123,Anastasia,1998,0,2
124,Anastasia (1956),1957,0,2
125,Anatomy of a Murder,1960,0,4
126,And Justice For All,1980,0,1
127,And Now My Love,1976,0,1
128,"Andromeda Strain, The",1972,0,1
129,Angela's Ashes,2000,0,1
130,"Angry Silence, The",1961,0,1
131,Animal Kingdom,2011,0,1
132,Animals Are Beautiful People,1975,1,1
133,Anna,1988,1,1
134,Anna Karenina,2013,0,1
135,Anna and the King,2000,0,2
136,Anne of the Thousand Days,1970,4,7
137,Annie,1983,0,3
138,Annie (2014),2015,0,2
139,Annie Get Your Gun,1951,0,1
140,Annie Hall,1978,1,5
141,Anomalisa,2016,0,1
142,Antigone,1962,0,1
143,Any Number Can Win,1964,1,1
144,Any Wednesday,1967,0,1
145,Anything Can Happen,1953,1,1
146,Anywhere But Here,2000,0,1
