Films,Year,Oscars,Nominations
,1934,4,37
"$1,000 a Minute",1936,0,1
'Round Midnight,1987,1,2
(A) Torzija [(A) Torsion],2004,0,1
...And Justice for All,1980,0,2
10,1980,0,2
102 Dalmatians,2001,0,1
12,2008,0,1
12 Angry Men,1958,0,3
12 Monkeys,1996,0,2
12 Years a Slave,2014,3,9
127 Hours,2011,0,6
12:01 PM,1991,0,1
13 Hours: The Secret Soldiers of Benghazi,2017,0,1
13th,2017,0,1
140 Days under the World,1965,0,1
1776,1973,0,1
1848,1950,0,1
1941,1980,0,3
20 Feet from Stardom,2014,1,1
"20,000 Leagues under the Sea",1955,2,3
2001: A Space Odyssey,1969,1,4
2010,1985,0,5
20th Century Women,2017,0,1
21 Grams,2004,0,2
24-Hour Alert,1956,0,1
3 Misses,2000,0,1
38,1987,0,1
3:10 to Yuma,2008,0,2
3rd Ave. El,1956,0,1
4 Little Girls,1998,0,1
4.1 Miles,2017,0,1
42nd Street,1934,0,2
45 Years,2016,0,1
5 Broken Cameras,2013,0,1
55 Days at Peking,1964,0,2
7 Faces of Dr. Lao,1965,0,1
7th Heaven,1929,3,5
8 Mile,2003,1,1
89mm od Europy (89mm from Europe),1995,0,1
9,2006,0,1
A Beautiful Mind,2002,4,8
A Boy Named Charlie Brown,1971,0,1
A Boy and His Dog,1947,1,1
A Bug's Life,1999,0,1
A Cage of Nightingales,1948,0,1
A Cat in Paris,2012,0,1
A Certain Smile,1959,0,3
A Chairy Tale,1958,0,1
A Chance to Live,1950,1,1
A Chef in Love,1997,0,1
A Chorus Line,1986,0,3
A Christmas Carol,1973,1,1
A City Called Copenhagen,1961,0,1
A City Decides,1957,0,1
A Civil Action,1999,0,2
A Clockwork Orange,1972,0,4
A Close Shave,1996,1,1
A Cry in the Dark,1989,0,1
A Damsel in Distress,1938,1,2
A Day at the Races,1938,0,1
A Day in the Life of Bonnie Consolo,1976,0,1
A Different Approach,1979,0,1
A Double Life,1948,2,4
A Dry White Season,1990,0,1
A Fantastic Woman,2018,1,1
A Farewell to Arms,1934,2,5
A Few Good Men,1993,0,4
A Few Notes on Our Food Problem,1969,0,1
A Fish Called Wanda,1989,1,3
A Foreign Affair,1949,0,2
A Free Soul,1932,1,3
A Funny Thing Happened on the Way to the Forum,1967,1,1
A Gathering of Eagles,1964,0,1
A Girl in the River: The Price of Forgiveness,2016,1,1
A Grand Day Out,1991,0,1
A Great Day in Harlem,1995,0,1
A Greek Tragedy,1987,1,1
A Gun in His Hand,1946,0,1
A Guy Named Joe,1945,0,1
A Handful of Dust,1989,0,1
A Hard Day's Night,1965,0,2
A Hatful of Rain,1958,0,1
A History of Violence,2006,0,2
A Hole in the Head,1960,1,1
A House Is Not a Home,1965,0,1
A Jury of Her Peers,1981,0,1
A King's Story,1968,0,1
A Letter to Three Wives,1950,2,3
A Little Night Music,1978,1,2
A Little Princess,1996,0,2
A Little Romance,1980,1,2
A Little Vicious,1992,0,1
A Long Way from Nowhere,1971,0,1
A Majority of One,1962,0,1
A Man Called Ove,2017,0,2
A Man Called Peter,1956,0,1
A Man Thing (Meska Sprawa),2002,0,1
A Man and a Woman,1967,2,4
A Man for All Seasons,1967,6,8
A Matter of Loaf and Death,2010,0,1
A Medal for Benny,1946,0,2
A Midsummer Night's Dream,1936,2,4
A Mighty Wind,2004,0,1
A Morning Stroll,2012,0,1
A New Kind of Love,1964,0,2
A Night at The Garden,2019,0,1
A Night at the Movies,1938,0,1
A Note of Triumph: The Golden Age of Norman Corwin,2006,1,1
A Passage to India,1985,2,11
A Patch of Blue,1966,1,5
A Place in the Land,1999,0,1
A Place in the Sun,1952,6,10
A Place to Live,1942,0,1
A Place to Stand,1968,1,2
A Portrait of Giselle,1983,0,1
A Preferred List,1934,0,1
A Prophet,2010,0,1
A Queen Is Crowned,1954,0,1
A Quiet Place,2019,0,1
A Rage to Live,1966,0,1
A River Runs through It,1993,1,3
A Room with a View,1987,3,8
A Royal Affair,2013,0,1
A Separation,2012,1,2
A Serious Man,2010,0,2
A Ship Comes In,1929,0,1
A Ship Is Born,1943,0,1
A Shocking Accident,1983,1,1
A Simple Plan,1999,0,2
A Simple Story,1980,0,1
A Single Life,2015,0,1
A Single Man,2010,0,1
A Soccer Story (Uma Historia de Futebol),2001,0,1
A Soldier's Story,1985,0,3
A Song to Remember,1946,0,6
A Space to Grow,1969,0,1
A Special Day,1978,0,2
A Sport Is Born,1961,0,1
A Star Is Born,['1938' '2019'],2,24
A Stitch for Time,1988,0,1
A Stolen Life,1947,0,1
A Story of Healing,1998,1,1
A Streetcar Named Desire,1952,4,12
A Tale of Two Cities,1937,0,2
A Thousand Clowns,1966,1,4
A Thousand and One Nights,1946,0,2
A Time Out of War,1955,1,1
A Time for Burning,1968,0,1
A Time for Justice,1995,1,1
A Time to Love and a Time to Die,1959,0,1
A Touch of Class,1974,1,5
A Tree Grows in Brooklyn,1946,1,2
A Very Long Engagement,2005,0,2
A Voice Is Born: The Story of Niklos Gafni,1948,0,1
A War,2016,0,1
A Way Out of the Wilderness,1969,0,1
A Wild Hare,1941,0,1
A Woman of Affairs,1930,0,1
A Woman under the Influence,1975,0,2
A Yank in the R.A.F.,1942,0,1
A Year toward Tomorrow,1967,1,1
A.I. Artificial Intelligence,2002,0,2
Abacus: Small Enough to Jail,2018,0,1
Abe Lincoln in Illinois,1941,0,2
About Schmidt,2003,0,2
About a Boy,2003,0,1
Above and Beyond,1954,0,1
Absence of Malice,1982,0,3
Across the Universe,2008,0,1
Action in the North Atlantic,1944,0,1
Adam,1993,0,1
Adam Clayton Powell,1990,0,1
Adam and Dog,2013,0,1
Adam's Rib,1951,0,1
Adaptation,2003,1,4
Addams Family Values,1994,0,1
Address Unknown,1945,0,2
Adolescence,1967,0,1
Adventure in the Bronx,1942,0,1
Adventures in Perception,1972,0,1
Adventures of Robinson Crusoe,1955,0,1
Affair in Trinidad,1953,0,1
Affliction,1999,1,2
"Africa, Prelude to Victory",1943,0,1
After the Axe,1983,0,1
After the Thin Man,1937,0,1
After the Wedding,2007,0,1
Afterglow,1998,0,1
Against All Odds,1985,0,1
Against Wind and Tide: A Cuban Odyssey,1982,0,1
Agatha,1980,0,1
Agee,1981,0,1
Agnes of God,1986,0,3
"Agueda Martinez: Our People, Our Country",1978,0,1
Air Force,1944,1,4
Air Force One,1998,0,2
Airport,1971,1,10
Airport '77,1978,0,2
Ajami,2010,0,1
Aladdin,1993,2,5
Alaska Wilderness Lake,1972,0,1
Alaska: Spirit of the Wild,1998,0,1
Albert Nobbs,2012,0,3
Albert Schweitzer,1958,1,1
Alexander's Ragtime Band,1939,1,6
Alfie,1967,0,5
Algiers,1939,0,4
Ali,2002,0,2
Ali Baba Goes to Town,1938,0,1
Alibi,1930,0,3
Alice,1991,0,1
Alice Adams,1936,0,2
Alice Doesn't Live Here Anymore,1975,1,3
Alice in Wonderland,2011,2,4
Alice's Restaurant,1970,0,1
Alien,1980,1,2
Alien 3,1993,0,1
Aliens,1987,2,7
Alive in the Deep,1942,0,1
All Is Lost,2014,0,1
All Nothing,1981,0,1
"All Out for ""V""",1943,0,1
All Quiet on the Western Front,1931,2,4
All That Jazz,1980,4,9
All That Money Can Buy,1942,1,2
All The Stars,2019,0,1
All Things Fair,1996,0,1
"All This, and Heaven Too",1941,0,3
All about Eve,1951,6,14
All about My Mother,2000,1,1
All the Brothers Were Valiant,1954,0,1
All the King's Horses,1936,0,1
All the King's Men,1950,3,7
All the Money in the World,2018,0,1
All the President's Men,1977,4,8
All-American Co-Ed,1942,0,2
Allied,2017,0,1
Almost Famous,2001,1,4
Aloma of the South Seas,1942,0,2
Along the Rainbow Trail,1946,0,1
Alsino and the Condor,1983,0,1
Altered States,1981,0,2
Alvorada (Brazil's Changing Face),1963,0,1
Always a New Beginning,1974,0,1
Always in My Heart,1943,0,1
Ama Girls,1959,1,1
Amadeus,1985,8,11
Amarcord,1976,1,3
Amazon,1998,0,1
Amazon Diary,1990,0,1
America America,1964,1,4
American Beauty,2000,5,8
American Dream,1991,1,1
American Gangster,2008,0,2
American Graffiti,1974,0,5
American History X,1999,0,1
American Hustle,2014,0,10
American Shoeshine,1977,0,1
American Sniper,2015,1,6
American Splendor,2004,0,1
Americas in Transition,1982,0,1
Amistad,1998,0,4
Amores Perros,2001,0,1
Amour,2013,1,5
Amphibious Fighters,1944,1,1
Amy,2016,1,1
Amélie,2002,0,5
An Affair to Remember,1958,0,4
An American Dream,1967,0,1
An American Tail,1987,0,1
An American Werewolf in London,1982,1,1
An American in Paris,1952,6,8
An Education,2010,0,3
An Encounter with Faces,1979,0,1
An Essay on Matisse,1997,0,1
An Impression of John Steinbeck: Writer,1970,0,1
An Inconvenient Truth,2007,2,2
An Occurrence at Owl Creek Bridge,1964,1,1
An Officer and a Gentleman,1983,2,6
An Unmarried Woman,1979,0,3
Anastasia,['1957' '1998'],1,4
Anatomy of a Murder,1960,0,7
Anchors Aweigh,1946,1,5
And Now My Love,1976,0,1
And to Think I Saw It on Mulberry Street,1945,0,1
Angel and Big Joe,1976,1,1
Angela's Ashes,2000,0,1
Angels and Insects,1997,0,1
Angels over Broadway,1941,0,1
Angels with Dirty Faces,1939,0,3
Angry Harvest,1986,0,1
Animal Behaviour,2019,0,1
Animal Kingdom,2011,0,1
Anna,1988,0,1
Anna & Bella,1986,1,1
Anna Christie,1931,0,3
Anna Karenina,2013,1,4
Anna and the King,2000,0,2
Anna and the King of Siam,1947,2,5
Anne Frank Remembered,1996,1,1
Anne of the Thousand Days,1970,1,10
Annie,1983,0,2
Annie Get Your Gun,1951,1,4
Annie Hall,1978,4,5
Annie Was a Wonder,1949,0,1
Anomalisa,2016,0,1
Anonymous,2012,0,1
Another Year,2011,0,1
Antarctic Crossing,1959,0,1
Anthony Adverse,1937,4,7
Antonia's Line,1996,1,1
Antonia: A Portrait of the Woman,1975,0,1
Ape and Super-Ape,1973,0,1
Apocalypse Now,1980,2,8
Apocalypto,2007,0,3
Apollo 13,1996,2,9
Appointment for Love,1942,0,1
April Love,1958,0,1
Aquamania,1962,0,1
Aquatic House-Party,1950,1,1
Aquel No Era Yo (That Wasn't Me),2014,0,1
Arabian Nights,1943,0,4
Argo,2013,3,7
"Arise, My Love",1941,1,4
Arizona,1941,0,2
Armageddon,1999,0,4
Arms and the Man,1959,0,1
Army Champions,1942,0,1
Army Girl,1939,0,3
Around the World in 80 Days,1957,5,8
Arrival,2017,1,8
Arrowsmith,1933,0,4
Art Is...,1972,0,1
Arthur,1982,2,4
Arthur Rubinstein - The Love of Life,1970,1,1
Arthur and Lillie,1976,0,1
Artie Shaw: Time Is All You've Got,1987,1,1
Artists and Models,1938,0,1
Artists and Orphans: A True Drama,2002,0,1
Arturo Toscanini,1945,0,1
As Good as It Gets,1998,2,7
As It Is in Heaven,2005,0,1
Asad,2013,0,1
Asylum,2004,0,1
At Eternity's Gate,2019,0,1
At Night,2008,0,1
At the Edge of Conquest: The Journey of Chief Wai-Wai,1993,0,1
Athletes of the Saddle,1953,0,1
Atlantic City,1982,0,5
Atomic Power,1947,0,1
Atonement,2008,1,7
"Au Revoir Les Enfants (Goodbye, Children)",1988,0,2
Audioscopiks,1936,0,1
Audition (The Fools Who Dream) ,2017,0,1
Auf der Strecke (On the Line),2009,0,1
August Rush,2008,0,1
August: Osage County,2014,0,2
Auntie Mame,1959,0,6
Ausreisser (The Runaway),2006,0,1
Austin Powers: The Spy Who Shagged Me,2000,0,1
Australia,2009,0,1
Autism Is a World,2005,0,1
Automania 2000,1964,0,1
Autumn Sonata,1979,0,2
Avalon,1991,0,4
Avant Que De Tout Perdre (Just before Losing Everything),2014,0,1
Avatar,2010,3,9
Ave Maria,2016,0,1
Avengers: Infinity War,2019,0,1
Awakenings,1991,0,3
Away from Her,2008,0,2
Aya,2015,0,1
Ayn Rand: A Sense of Life,1998,0,1
B. F.'s Daughter,1949,0,1
Babe,1996,1,7
Babe: Pig in the City,1999,0,1
Babel,2007,1,7
Babes in Arms,1940,0,2
Babes in Toyland,1962,0,2
Babes on Broadway,1943,0,1
Babette's Feast,1988,1,1
Baby Doll,1957,0,4
Baby Driver,2018,0,3
Bachelor Mother,1940,0,1
Bachelor in Paradise,1962,0,1
Back Street,['1942' '1962'],0,2
Back to the Future,1986,1,4
Back to the Future Part II,1990,0,1
Backdraft,1992,0,3
Background,1974,0,1
Bad Day at Black Rock,1956,0,3
Bad Girl,1933,2,3
Badgered,2006,0,1
Bagdad Cafe,1989,0,1
Balalaika,1940,0,1
Balance,1990,1,1
Ball of Fire,1942,0,4
Ballad of a Soldier,1962,0,1
Ballet Robotique,1983,0,1
Ballon Vole (Play Ball!),1962,0,1
Balseros,2004,0,1
Balzac,1952,0,1
Bambi,1943,0,3
Bang the Drum Slowly,1974,0,1
Banjo on My Knee,1937,0,1
Banning,1968,0,1
Bao,2019,1,1
Baptism of Fire,1944,0,1
Barbary Coast,1936,0,1
Barefoot in the Park,1968,0,1
Barney's Version,2011,0,1
Barry Lyndon,1976,4,7
Barton Fink,1992,0,3
Basic Instinct,1993,0,2
Batman,1990,1,1
Batman Begins,2006,0,1
Batman Forever,1996,0,3
Batman Returns,1993,0,2
Battle Cry,1956,0,1
Battle of Berlin,1974,0,1
Battleground,1950,2,6
Beach Red,1968,0,1
Beaches,1989,0,1
Bear Country,1954,1,1
Bear Story,2016,1,1
Beasts of the Southern Wild,2013,0,4
Beau Geste,1940,0,2
Beaufort,2008,0,1
Beauty and the Beach,1942,0,1
Beauty and the Beast,1992,2,8
Beauty and the Bull,1955,0,1
Because You're Mine,1953,0,1
Becket,1965,1,12
Becky Sharp,1936,0,1
Bedknobs and Broomsticks,1972,1,5
Beep Prepared,1962,0,1
Beethoven's 2nd,1994,0,1
Beetlejuice,1989,1,1
Before Midnight,2014,0,1
Before Night Falls,2001,0,1
Before Sunset,2005,0,1
Before the Mountain Was Moved,1970,0,1
Before the Rain,1995,0,1
Begin Again,2015,0,1
Beginners,2012,1,1
Behind the News,1941,0,1
Being John Malkovich,2000,0,3
Being Julia,2005,0,1
Being There,1980,1,2
"Bell, Book and Candle",1959,0,2
Belle Epoque,1994,1,1
Belle of the Yukon,1946,0,2
Bells Are Ringing,1961,0,1
Beloved,1999,0,1
Ben,1973,0,1
Ben and Me,1954,0,1
Ben's Mill,1983,0,1
Ben-Hur,1960,11,12
Beneath the 12-Mile Reef,1954,0,1
Benji,1975,0,1
Benjy,1952,1,1
Berkeley Square,1934,0,1
Berkeley in the Sixties,1991,0,1
Best Boy,1980,1,1
Best Friends,1983,0,1
Betrayal,1984,0,1
Betty Blue,1987,0,1
Between Heaven and Hell,1957,0,1
Between the Tides,1960,0,1
Beverly Hills Cop,1985,0,1
Beverly Hills Cop II,1988,0,1
"Beyond Imagining: Margaret Anderson and the ""Little Review""",1993,0,1
Beyond Silence,['1961' '1998'],0,2
Beyond the Forest,1950,0,1
Beyond the Lights,2015,0,1
Beyond the Line of Duty,1943,1,1
Beyond the Walls,1985,0,1
Bicentennial Man,2000,0,1
Big,1989,0,2
Big Broadcast of 1936,1936,0,1
Big City Blues,1963,0,1
Big Fish,2004,0,1
Big Hero 6,2015,1,1
Big Mama,2001,1,1
Billy Budd,1963,0,1
Billy Elliot,2001,0,3
Billy Rose's Jumbo,1963,0,1
Billy the Kid,1942,0,1
Binta and the Great Idea (Binta Y La Gran Idea),2007,0,1
Birch Street Gym,1992,0,1
Bird,1989,1,1
Birdman of Alcatraz,1963,0,4
Birdman or (The Unexpected Virtue of Ignorance),2015,4,9
"Birdnesters of Thailand (aka ""Shadow Hunters"")",1992,0,1
